business_Name,zip,license_description
Husky Hog Bbq Llc,60612,Mobile Food License
Reef Kitchens,60612,Mobile Food License
Tamalefoodie Llc,60612,Mobile Food License
Haute Sausage,60608,Mobile Food License
Andreana Llc,60625,Mobile Food License
The Jibarito Stop Llc,60608,Mobile Food License
The Shrimp Schack,60608,Mobile Food License
Red Baron,60612,Mobile Food License
Julia's L'Afriq Cuizine,60612,Mobile Food License
Boo Coo Roux,60608,Mobile Food License
La Mixteca Poblana,60608,Mobile Food License
Aztec Dave's Food Truck,60608,Mobile Food License
Gordo's Homemade Ice Cream Bars,60605,Mobile Food License
Sugar Bliss Cake Boutique,60602,Mobile Food License
Teriyaki Bowl,60612,Mobile Food License
Chicago Riverwalk Ventures,60035,Mobile Food License
Anticonquista Cafe,60612,Mobile Food License
L' Patron,60608,Mobile Food License
Pierogi Wagon,60612,Mobile Food License
El Rayo Tacos Inc,60608,Mobile Food License
Wrap It Up,60608,Mobile Food License
Dippin' Dots Ice Cream,60612,Mobile Food License
La Chaparrita,60608,Mobile Food License
Cynthia's Gumbo Express,60608,Mobile Food License
Taco Mario's,60608,Mobile Food License
Loud Mouth Food Bikes,60612,Mobile Food License
La Jefa,60608,Mobile Food License
El Jefe,60608,Mobile Food License
Warm Belly Bakery,60607,Mobile Food License
Black Dog Gelato,60612,Mobile Food License
The Pasta Bowl And The Other Side Bar,60614,Mobile Food License
Tacos Legado Poblano,60608,Mobile Food License
The Chi-Cheff Llc,60608,Mobile Food License
Just Hummus,60612,Mobile Food License
Helados Mundos,60609,Mobile Food License
Bob Cha,60608,Mobile Food License
Tacos & Salsas Llc,60608,Mobile Food License
Nxt Fresh Food Pop-Up,60644,Mobile Food License
Mario's Backyard Eats,60612,Mobile Food License
Catholic Charities,60610,Mobile Food License
Downstate Donuts,60612,Mobile Food License
Deli King Inc.,60608,Mobile Food License
Itsapop Llc,60612,Mobile Food License
Medtak Ltd.,60626,Mobile Food License
Ice Cream Machine,60644,Mobile Food License
Tamalli Space Charros Llc,60612,Mobile Food License
Ana Galindo,60623,Mobile Food License
Caseras Sabor Real,60612,Mobile Food License
Theory Sports Div Lounge,60610,Mobile Food License
Tacos Cincuenta Arrobas,60608,Mobile Food License
Bake Me Off A Piece Of That Llc,60612,Mobile Food License
Pars Icecream Co Inc,60644,Mobile Food Dispenser
Carmen Nava,60623,Mobile Food License
The Happy Lobster,60608,Mobile Food License
August Viands,60612,Mobile Food License
Sweet Spot Macarons,60646,Mobile Food License
Big World's Llc,60608,Mobile Food License
Thunderbird Caternig Co,60609,Mobile Food License
Beyond Borders Fusion Food Llc,60608,Mobile Food License
Mediterranean Express,60608,Mobile Food License
Gino's Steaks Truck,60608,Mobile Food License
The Gladwell Company,60612,Mobile Food License
Gordo's Tamales,60632,Mobile Food License
Is Esther's Ice Cream,60644,Mobile Food License
Brown Bag Lunch Truck Llc,60618,Mobile Food Dispenser
Carnitas Don Rafa Inc,60632,Mobile Food Dispenser
Palace Gate Africa Restaurant,60640,Mobile Food License
Rafael Magllom,60623,Mobile Food License
Memo's Freeze,60617,Mobile Food License
Mimi's Chicago Humble Pie,60608,Mobile Food License
Paris Ouh Lala,60612,Mobile Food License
Chickpea Delights,60612,Mobile Food License
El Patron,60612,Mobile Food License
Saul Mazon Jr.,60617,Mobile Food Dispenser
Bombay Wraps,60606,Mobile Food License
